video,annotation,translation
006/P0_S006_04.mp4,У меня все нормально,У меня все нормально
007/P0_S007_00.mp4,У меня все плохо,У меня все плохо
007/P0_S007_01.mp4,У меня все плохо,У меня все плохо
007/P0_S007_02.mp4,У меня все плохо,У меня все плохо
007/P0_S007_03.mp4,У меня все плохо,У меня все плохо
007/P0_S007_04.mp4,У меня все плохо,У меня все плохо
008/P0_S008_00.mp4,У меня все очень плохо,У меня все очень плохо
008/P0_S008_01.mp4,У меня все очень плохо,У меня все очень плохо
008/P0_S008_02.mp4,У меня все очень плохо,У меня все очень плохо
008/P0_S008_03.mp4,У меня все очень плохо,У меня все очень плохо
008/P0_S008_04.mp4,У меня все очень плохо,У меня все очень плохо
009/P0_S009_00.mp4,Вы что делать,Вы что делаете
009/P0_S009_01.mp4,Вы что делать,Вы что делаете
009/P0_S009_02.mp4,Вы что делать,Вы что делаете
009/P0_S009_03.mp4,Вы что делать,Вы что делаете
009/P0_S009_04.mp4,Вы что делать,Вы что делаете
010/P0_S010_00.mp4,Я отдых,Я отдыхаю
010/P0_S010_01.mp4,Я отдых,Я отдыхаю
010/P0_S010_02.mp4,Я отдых,Я отдыхаю
010/P0_S010_03.mp4,Я отдых,Я отдыхаю
010/P0_S010_04.mp4,Я отдых,Я отдыхаю
011/P0_S011_00.mp4,Я работа,Я работаю
011/P0_S011_01.mp4,Я работа,Я работаю
011/P0_S011_02.mp4,Я работа,Я работаю
011/P0_S011_03.mp4,Я работа,Я работаю
011/P0_S011_04.mp4,Я работа,Я работаю
012/P0_S012_00.mp4,Я смотреть телевизор,Я смотрю телевизор
012/P0_S012_01.mp4,Я смотреть телевизор,Я смотрю телевизор
012/P0_S012_02.mp4,Я смотреть телевизор,Я смотрю телевизор
012/P0_S012_03.mp4,Я смотреть телевизор,Я смотрю телевизор
012/P0_S012_04.mp4,Я смотреть телевизор,Я смотрю телевизор
013/P0_S013_00.mp4,Как жизнь,Как жизнь Как оно
013/P0_S013_01.mp4,Как жизнь,Как жизнь Как оно
013/P0_S013_02.mp4,Как жизнь,Как жизнь Как оно
013/P0_S013_03.mp4,Как жизнь,Как жизнь Как оно
013/P0_S013_04.mp4,Как жизнь,Как жизнь Как оно
014/P0_S014_00.mp4,Как твое сам чувство,Как твое самочувствие
014/P0_S014_01.mp4,Как твое сам чувство,Как твое самочувствие
014/P0_S014_02.mp4,Как твое сам чувство,Как твое самочувствие
014/P0_S014_03.mp4,Как твое сам чувство,Как твое самочувствие
014/P0_S014_04.mp4,Как твое сам чувство,Как твое самочувствие
015/P0_S015_00.mp4,Что случай,Что случилось
015/P0_S015_01.mp4,Что случай,Что случилось
015/P0_S015_02.mp4,Что случай,Что случилось
015/P0_S015_03.mp4,Что случай,Что случилось
015/P0_S015_04.mp4,Что случай,Что случилось
016/P0_S016_00.mp4,Я просто устал,Я просто устал
016/P0_S016_01.mp4,Я просто устал,Я просто устал
016/P0_S016_02.mp4,Я просто устал,Я просто устал
016/P0_S016_03.mp4,Я просто устал,Я просто устал
016/P0_S016_04.mp4,Я просто устал,Я просто устал
017/P0_S017_00.mp4,Что-то случилось,Что-то случилось
017/P0_S017_01.mp4,Что-то случилось,Что-то случилось
017/P0_S017_02.mp4,Что-то случилось,Что-то случилось
017/P0_S017_03.mp4,Что-то случилось,Что-то случилось
017/P0_S017_04.mp4,Что-то случилось,Что-то случилось
018/P0_S018_00.mp4,Ничего все нормально,Ничего все нормально
018/P0_S018_01.mp4,Ничего все нормально,Ничего все нормально
018/P0_S018_02.mp4,Ничего все нормально,Ничего все нормально
018/P0_S018_03.mp4,Ничего все нормально,Ничего все нормально
018/P0_S018_04.mp4,Ничего все нормально,Ничего все нормально
019/P0_S019_00.mp4,Какие новости,Какие новости
019/P0_S019_01.mp4,Какие новости,Какие новости
019/P0_S019_02.mp4,Какие новости,Какие новости
019/P0_S019_03.mp4,Какие новости,Какие новости
019/P0_S019_04.mp4,Какие новости,Какие новости
020/P0_S020_00.mp4,У меня для вас новости,У меня для вас новости
020/P0_S020_01.mp4,У меня для вас новости,У меня для вас новости
020/P0_S020_02.mp4,У меня для вас новости,У меня для вас новости
020/P0_S020_03.mp4,У меня для вас новости,У меня для вас новости
020/P0_S020_04.mp4,У меня для вас новости,У меня для вас новости
021/P0_S021_00.mp4,У меня есть новости,У меня есть новости
021/P0_S021_01.mp4,У меня есть новости,У меня есть новости
021/P0_S021_02.mp4,У меня есть новости,У меня есть новости
021/P0_S021_03.mp4,У меня есть новости,У меня есть новости
021/P0_S021_04.mp4,У меня есть новости,У меня есть новости
022/P0_S022_00.mp4,Ничего нового,Ничего нового
022/P0_S022_01.mp4,Ничего нового,Ничего нового
022/P0_S022_02.mp4,Ничего нового,Ничего нового
022/P0_S022_03.mp4,Ничего нового,Ничего нового
022/P0_S022_04.mp4,Ничего нового,Ничего нового
023/P0_S023_00.mp4,Пекрасные новости,Пекрасные новости
023/P0_S023_01.mp4,Пекрасные новости,Пекрасные новости
023/P0_S023_02.mp4,Пекрасные новости,Пекрасные новости
023/P0_S023_03.mp4,Пекрасные новости,Пекрасные новости
023/P0_S023_04.mp4,Пекрасные новости,Пекрасные новости
024/P0_S024_00.mp4,Как прошел твой день,Как прошел твой день
024/P0_S024_01.mp4,Как прошел твой день,Как прошел твой день
024/P0_S024_02.mp4,Как прошел твой день,Как прошел твой день
024/P0_S024_03.mp4,Как прошел твой день,Как прошел твой день
024/P0_S024_04.mp4,Как прошел твой день,Как прошел твой день
025/P0_S025_00.mp4,Было много дел,Было много дел
025/P0_S025_01.mp4,Было много дел,Было много дел
025/P0_S025_02.mp4,Было много дел,Было много дел
025/P0_S025_03.mp4,Было много дел,Было много дел
025/P0_S025_04.mp4,Было много дел,Было много дел
026/P0_S026_00.mp4,Хорошо сегодня много успел,Хорошо сегодня много успел
026/P0_S026_01.mp4,Хорошо сегодня много успел,Хорошо сегодня много успел
026/P0_S026_02.mp4,Хорошо сегодня много успел,Хорошо сегодня много успел
026/P0_S026_03.mp4,Хорошо сегодня много успел,Хорошо сегодня много успел
026/P0_S026_04.mp4,Хорошо сегодня много успел,Хорошо сегодня много успел
027/P0_S027_00.mp4,Где здесь туалет,Где здесь туалет
027/P0_S027_01.mp4,Где здесь туалет,Где здесь туалет
027/P0_S027_02.mp4,Где здесь туалет,Где здесь туалет
027/P0_S027_03.mp4,Где здесь туалет,Где здесь туалет
027/P0_S027_04.mp4,Где здесь туалет,Где здесь туалет
028/P0_S028_00.mp4,Мне нужно туалет,Мне нужно в туалет
028/P0_S028_01.mp4,Мне нужно туалет,Мне нужно в туалет
028/P0_S028_02.mp4,Мне нужно туалет,Мне нужно в туалет
028/P0_S028_03.mp4,Мне нужно туалет,Мне нужно в туалет
028/P0_S028_04.mp4,Мне нужно туалет,Мне нужно в туалет
029/P0_S029_00.mp4,Как я могу помощь,Как я могу помочь
029/P0_S029_01.mp4,Как я могу помощь,Как я могу помочь
029/P0_S029_02.mp4,Как я могу помощь,Как я могу помочь
029/P0_S029_03.mp4,Как я могу помощь,Как я могу помочь
029/P0_S029_04.mp4,Как я могу помощь,Как я могу помочь
030/P0_S030_00.mp4,Мне нужна помощь,Мне нужна помощь
030/P0_S030_01.mp4,Мне нужна помощь,Мне нужна помощь
030/P0_S030_02.mp4,Мне нужна помощь,Мне нужна помощь
030/P0_S030_03.mp4,Мне нужна помощь,Мне нужна помощь
030/P0_S030_04.mp4,Мне нужна помощь,Мне нужна помощь
031/P0_S031_00.mp4,Я вам помощь быть,Я вам помогу
031/P0_S031_01.mp4,Я вам помощь быть,Я вам помогу
031/P0_S031_02.mp4,Я вам помощь быть,Я вам помогу
031/P0_S031_03.mp4,Я вам помощь быть,Я вам помогу
031/P0_S031_04.mp4,Я вам помощь быть,Я вам помогу
032/P0_S032_00.mp4,Я искать работа,Я ищу работу
032/P0_S032_01.mp4,Я искать работа,Я ищу работу
032/P0_S032_02.mp4,Я искать работа,Я ищу работу
032/P0_S032_03.mp4,Я искать работа,Я ищу работу
032/P0_S032_04.mp4,Я искать работа,Я ищу работу
033/P0_S033_00.mp4,Мне надо переводчик,Мне нужен переводчик
033/P0_S033_01.mp4,Мне надо переводчик,Мне нужен переводчик
033/P0_S033_02.mp4,Мне надо переводчик,Мне нужен переводчик
033/P0_S033_03.mp4,Мне надо переводчик,Мне нужен переводчик
033/P0_S033_04.mp4,Мне надо переводчик,Мне нужен переводчик
034/P0_S034_00.mp4,Что делать отдых,Что делать в выходной
034/P0_S034_01.mp4,Что делать отдых,Что делать в выходной
034/P0_S034_02.mp4,Что делать отдых,Что делать в выходной
034/P0_S034_03.mp4,Что делать отдых,Что делать в выходной
034/P0_S034_04.mp4,Что делать отдых,Что делать в выходной
035/P0_S035_00.mp4,Вызов врач,Вызовите скорую
035/P0_S035_01.mp4,Вызов врач,Вызовите скорую
035/P0_S035_02.mp4,Вызов врач,Вызовите скорую
035/P0_S035_03.mp4,Вызов врач,Вызовите скорую
035/P0_S035_04.mp4,Вызов врач,Вызовите скорую
036/P0_S036_00.mp4,Вызов полиция,Вызовите полицию
036/P0_S036_01.mp4,Вызов полиция,Вызовите полицию
036/P0_S036_02.mp4,Вызов полиция,Вызовите полицию
036/P0_S036_03.mp4,Вызов полиция,Вызовите полицию
036/P0_S036_04.mp4,Вызов полиция,Вызовите полицию
037/P0_S037_00.mp4,Помогите боль голова сердце и трудно воздух,Помогите болит голова сердце и трудно дышать
037/P0_S037_01.mp4,Помогите боль голова сердце и трудно воздух,Помогите болит голова сердце и трудно дышать
037/P0_S037_02.mp4,Помогите боль голова сердце и трудно воздух,Помогите болит голова сердце и трудно дышать
037/P0_S037_03.mp4,Помогите боль голова сердце и трудно воздух,Помогите болит голова сердце и трудно дышать
037/P0_S037_04.mp4,Помогите боль голова сердце и трудно воздух,Помогите болит голова сердце и трудно дышать
038/P0_S038_00.mp4,Я не могу дышать,Я не могу дышать
038/P0_S038_01.mp4,Я не могу дышать,Я не могу дышать
038/P0_S038_02.mp4,Я не могу дышать,Я не могу дышать
038/P0_S038_03.mp4,Я не могу дышать,Я не могу дышать
038/P0_S038_04.mp4,Я не могу дышать,Я не могу дышать
039/P0_S039_00.mp4,Мне надо больше воздух,Мне нужно больше дышать
039/P0_S039_01.mp4,Мне надо больше воздух,Мне нужно больше дышать
039/P0_S039_02.mp4,Мне надо больше воздух,Мне нужно больше дышать
039/P0_S039_03.mp4,Мне надо больше воздух,Мне нужно больше дышать
039/P0_S039_04.mp4,Мне надо больше воздух,Мне нужно больше дышать
040/P0_S040_00.mp4,Что делать,Что делать
040/P0_S040_01.mp4,Что делать,Что делать
040/P0_S040_02.mp4,Что делать,Что делать
040/P0_S040_03.mp4,Что делать,Что делать
040/P0_S040_04.mp4,Что делать,Что делать
041/P0_S041_00.mp4,Желаю хороший день,Желаю хорошего дня
041/P0_S041_01.mp4,Желаю хороший день,Желаю хорошего дня
041/P0_S041_02.mp4,Желаю хороший день,Желаю хорошего дня
041/P0_S041_03.mp4,Желаю хороший день,Желаю хорошего дня
041/P0_S041_04.mp4,Желаю хороший день,Желаю хорошего дня
042/P0_S042_00.mp4,Желаю хороший вечер,Желаю хорошего вечера
042/P0_S042_01.mp4,Желаю хороший вечер,Желаю хорошего вечера
042/P0_S042_02.mp4,Желаю хороший вечер,Желаю хорошего вечера
042/P0_S042_03.mp4,Желаю хороший вечер,Желаю хорошего вечера
042/P0_S042_04.mp4,Желаю хороший вечер,Желаю хорошего вечера
043/P0_S043_00.mp4,Доброе утро,Доброе утро
043/P0_S043_01.mp4,Доброе утро,Доброе утро
043/P0_S043_02.mp4,Доброе утро,Доброе утро
043/P0_S043_03.mp4,Доброе утро,Доброе утро
043/P0_S043_04.mp4,Доброе утро,Доброе утро
044/P0_S044_00.mp4,Добрый день,Добрый день
044/P0_S044_01.mp4,Добрый день,Добрый день
044/P0_S044_02.mp4,Добрый день,Добрый день
044/P0_S044_03.mp4,Добрый день,Добрый день
044/P0_S044_04.mp4,Добрый день,Добрый день
045/P0_S045_00.mp4,Добрый вечер,Добрый вечер
045/P0_S045_01.mp4,Добрый вечер,Добрый вечер
045/P0_S045_02.mp4,Добрый вечер,Добрый вечер
045/P0_S045_03.mp4,Добрый вечер,Добрый вечер
045/P0_S045_04.mp4,Добрый вечер,Добрый вечер
046/P0_S046_00.mp4,Спокойно ночь,Спокойной ночи
046/P0_S046_01.mp4,Спокойно ночь,Спокойной ночи
046/P0_S046_02.mp4,Спокойно ночь,Спокойной ночи
046/P0_S046_03.mp4,Спокойно ночь,Спокойной ночи
046/P0_S046_04.mp4,Спокойно ночь,Спокойной ночи
047/P0_S047_00.mp4,Береги себя,Береги себя
047/P0_S047_01.mp4,Береги себя,Береги себя
047/P0_S047_02.mp4,Береги себя,Береги себя
047/P0_S047_03.mp4,Береги себя,Береги себя
047/P0_S047_04.mp4,Береги себя,Береги себя
048/P0_S048_00.mp4,Передавай привет жене,Передавай привет жене
048/P0_S048_01.mp4,Передавай привет жене,Передавай привет жене
048/P0_S048_02.mp4,Передавай привет жене,Передавай привет жене
048/P0_S048_03.mp4,Передавай привет жене,Передавай привет жене
048/P0_S048_04.mp4,Передавай привет жене,Передавай привет жене
049/P0_S049_00.mp4,Удачи завтра,Удачи завтра
049/P0_S049_01.mp4,Удачи завтра,Удачи завтра
049/P0_S049_02.mp4,Удачи завтра,Удачи завтра
049/P0_S049_03.mp4,Удачи завтра,Удачи завтра
049/P0_S049_04.mp4,Удачи завтра,Удачи завтра
050/P0_S050_00.mp4,Желаю чтобы все получилось,Желаю чтобы все получилось
050/P0_S050_01.mp4,Желаю чтобы все получилось,Желаю чтобы все получилось
050/P0_S050_02.mp4,Желаю чтобы все получилось,Желаю чтобы все получилось
050/P0_S050_03.mp4,Желаю чтобы все получилось,Желаю чтобы все получилось
050/P0_S050_04.mp4,Желаю чтобы все получилось,Желаю чтобы все получилось
051/P0_S051_00.mp4,Спасибо большое,Спасибо большое
051/P0_S051_01.mp4,Спасибо большое,Спасибо большое
051/P0_S051_02.mp4,Спасибо большое,Спасибо большое
051/P0_S051_03.mp4,Спасибо большое,Спасибо большое
051/P0_S051_04.mp4,Спасибо большое,Спасибо большое
052/P0_S052_00.mp4,До скоро встреча,До скорой встречи
052/P0_S052_01.mp4,До скоро встреча,До скорой встречи
052/P0_S052_02.mp4,До скоро встреча,До скорой встречи
052/P0_S052_03.mp4,До скоро встреча,До скорой встречи
052/P0_S052_04.mp4,До скоро встреча,До скорой встречи
053/P0_S053_00.mp4,Будем созваниваться,Будем созваниваться
053/P0_S053_01.mp4,Будем созваниваться,Будем созваниваться
053/P0_S053_02.mp4,Будем созваниваться,Будем созваниваться
053/P0_S053_03.mp4,Будем созваниваться,Будем созваниваться
053/P0_S053_04.mp4,Будем созваниваться,Будем созваниваться
054/P0_S054_00.mp4,До следующей встречи,До свидания
054/P0_S054_01.mp4,До следующей встречи,До свидания
054/P0_S054_02.mp4,До следующей встречи,До свидания
054/P0_S054_03.mp4,До следующей встречи,До свидания
054/P0_S054_04.mp4,До следующей встречи,До свидания
055/P0_S055_00.mp4,Как твое имя,Как тебя зовут
055/P0_S055_01.mp4,Как твое имя,Как тебя зовут
055/P0_S055_02.mp4,Как твое имя,Как тебя зовут
055/P0_S055_03.mp4,Как твое имя,Как тебя зовут
055/P0_S055_04.mp4,Как твое имя,Как тебя зовут
056/P0_S056_00.mp4,мое имя,Меня зовут
056/P0_S056_01.mp4,мое имя,Меня зовут
056/P0_S056_02.mp4,мое имя,Меня зовут
056/P0_S056_03.mp4,мое имя,Меня зовут
056/P0_S056_04.mp4,мое имя,Меня зовут
058/P0_S058_00.mp4,Мое прозвище,Мое прозвище
058/P0_S058_01.mp4,Мое прозвище,Мое прозвище
058/P0_S058_02.mp4,Мое прозвище,Мое прозвище
058/P0_S058_03.mp4,Мое прозвище,Мое прозвище
058/P0_S058_04.mp4,Мое прозвище,Мое прозвище
059/P0_S059_00.mp4,Приятно познакомиться,Приятно познакомиться
059/P0_S059_01.mp4,Приятно познакомиться,Приятно познакомиться
059/P0_S059_02.mp4,Приятно познакомиться,Приятно познакомиться
059/P0_S059_03.mp4,Приятно познакомиться,Приятно познакомиться
059/P0_S059_04.mp4,Приятно познакомиться,Приятно познакомиться
060/P0_S060_00.mp4,Мне тоже,Мне тоже
060/P0_S060_01.mp4,Мне тоже,Мне тоже
060/P0_S060_02.mp4,Мне тоже,Мне тоже
060/P0_S060_03.mp4,Мне тоже,Мне тоже
060/P0_S060_04.mp4,Мне тоже,Мне тоже
061/P0_S061_00.mp4,Сколько вам лет,Сколько вам лет
061/P0_S061_01.mp4,Сколько вам лет,Сколько вам лет
061/P0_S061_02.mp4,Сколько вам лет,Сколько вам лет
061/P0_S061_03.mp4,Сколько вам лет,Сколько вам лет
061/P0_S061_04.mp4,Сколько вам лет,Сколько вам лет
062/P0_S062_00.mp4,Мой возраст,Мой возраст
062/P0_S062_01.mp4,Мой возраст,Мой возраст
062/P0_S062_02.mp4,Мой возраст,Мой возраст
062/P0_S062_03.mp4,Мой возраст,Мой возраст
062/P0_S062_04.mp4,Мой возраст,Мой возраст
064/P0_S064_00.mp4,Откуда ты родился,Откуда вы родом
064/P0_S064_01.mp4,Откуда ты родился,Откуда вы родом
064/P0_S064_02.mp4,Откуда ты родился,Откуда вы родом
064/P0_S064_03.mp4,Откуда ты родился,Откуда вы родом
064/P0_S064_04.mp4,Откуда ты родился,Откуда вы родом
065/P0_S065_00.mp4,Где ты родился,Где ты родился
065/P0_S065_01.mp4,Где ты родился,Где ты родился
065/P0_S065_02.mp4,Где ты родился,Где ты родился
065/P0_S065_03.mp4,Где ты родился,Где ты родился
065/P0_S065_04.mp4,Где ты родился,Где ты родился
066/P0_S066_00.mp4,Я север Казахстан приехал,Я из севера Казахстана
066/P0_S066_01.mp4,Я север Казахстан приехал,Я из севера Казахстана
066/P0_S066_02.mp4,Я север Казахстан приехал,Я из севера Казахстана
066/P0_S066_03.mp4,Я север Казахстан приехал,Я из севера Казахстана
066/P0_S066_04.mp4,Я север Казахстан приехал,Я из севера Казахстана
067/P0_S067_00.mp4,Я юг Казахстан приехал,Я с юга Казахстана
067/P0_S067_01.mp4,Я юг Казахстан приехал,Я с юга Казахстана
067/P0_S067_02.mp4,Я юг Казахстан приехал,Я с юга Казахстана
067/P0_S067_03.mp4,Я юг Казахстан приехал,Я с юга Казахстана
067/P0_S067_04.mp4,Я юг Казахстан приехал,Я с юга Казахстана
068/P0_S068_00.mp4,Я запад Казахстан приехал,Я с запада Казахстана
068/P0_S068_01.mp4,Я запад Казахстан приехал,Я с запада Казахстана
068/P0_S068_02.mp4,Я запад Казахстан приехал,Я с запада Казахстана
068/P0_S068_03.mp4,Я запад Казахстан приехал,Я с запада Казахстана
068/P0_S068_04.mp4,Я запад Казахстан приехал,Я с запада Казахстана
069/P0_S069_00.mp4,Я восток Россия приехал,Я с востока России
069/P0_S069_01.mp4,Я восток Россия приехал,Я с востока России
069/P0_S069_02.mp4,Я восток Россия приехал,Я с востока России
069/P0_S069_03.mp4,Я восток Россия приехал,Я с востока России
069/P0_S069_04.mp4,Я восток Россия приехал,Я с востока России
070/P0_S070_00.mp4,Я живу город Алматы,Я живу в городе Алматы
070/P0_S070_01.mp4,Я живу город Алматы,Я живу в городе Алматы
070/P0_S070_02.mp4,Я живу город Алматы,Я живу в городе Алматы
070/P0_S070_03.mp4,Я живу город Алматы,Я живу в городе Алматы
070/P0_S070_04.mp4,Я живу город Алматы,Я живу в городе Алматы
071/P0_S071_00.mp4,Я живу город Москва,Я живу в городе Москва
071/P0_S071_01.mp4,Я живу город Москва,Я живу в городе Москва
071/P0_S071_02.mp4,Я живу город Москва,Я живу в городе Москва
071/P0_S071_03.mp4,Я живу город Москва,Я живу в городе Москва
071/P0_S071_04.mp4,Я живу город Москва,Я живу в городе Москва
072/P0_S072_00.mp4,Я живу город Санкт-Пeтербург,Я живу в городе Санкт-Пeтербург
072/P0_S072_01.mp4,Я живу город Санкт-Пeтербург,Я живу в городе Санкт-Пeтербург
072/P0_S072_02.mp4,Я живу город Санкт-Пeтербург,Я живу в городе Санкт-Пeтербург
072/P0_S072_03.mp4,Я живу город Санкт-Пeтербург,Я живу в городе Санкт-Пeтербург
072/P0_S072_04.mp4,Я живу город Санкт-Пeтербург,Я живу в городе Санкт-Пeтербург
073/P0_S073_00.mp4,Я живу город Ташкент,Я живу в городе Ташкент
073/P0_S073_01.mp4,Я живу город Ташкент,Я живу в городе Ташкент
073/P0_S073_02.mp4,Я живу город Ташкент,Я живу в городе Ташкент
073/P0_S073_03.mp4,Я живу город Ташкент,Я живу в городе Ташкент
073/P0_S073_04.mp4,Я живу город Ташкент,Я живу в городе Ташкент
074/P0_S074_00.mp4,Давно жить Киев,Давно живете в Киеве
074/P0_S074_01.mp4,Давно жить Киев,Давно живете в Киеве
074/P0_S074_02.mp4,Давно жить Киев,Давно живете в Киеве
074/P0_S074_03.mp4,Давно жить Киев,Давно живете в Киеве
074/P0_S074_04.mp4,Давно жить Киев,Давно живете в Киеве
075/P0_S075_00.mp4,Да я здесь родился,Да я здесь родился
075/P0_S075_01.mp4,Да я здесь родился,Да я здесь родился
075/P0_S075_02.mp4,Да я здесь родился,Да я здесь родился
075/P0_S075_03.mp4,Да я здесь родился,Да я здесь родился
075/P0_S075_04.mp4,Да я здесь родился,Да я здесь родился
076/P0_S076_00.mp4,Нет живу пока здесь,Нет живу пока здесь
076/P0_S076_01.mp4,Нет живу пока здесь,Нет живу пока здесь
076/P0_S076_02.mp4,Нет живу пока здесь,Нет живу пока здесь
076/P0_S076_03.mp4,Нет живу пока здесь,Нет живу пока здесь
076/P0_S076_04.mp4,Нет живу пока здесь,Нет живу пока здесь
077/P0_S077_00.mp4,Да живу вырос,Да живу с самого детства
077/P0_S077_01.mp4,Да живу вырос,Да живу с самого детства
077/P0_S077_02.mp4,Да живу вырос,Да живу с самого детства
077/P0_S077_03.mp4,Да живу вырос,Да живу с самого детства
077/P0_S077_04.mp4,Да живу вырос,Да живу с самого детства
078/P0_S078_00.mp4,Я живу родился,Я живу с рождения
078/P0_S078_01.mp4,Я живу родился,Я живу с рождения
078/P0_S078_02.mp4,Я живу родился,Я живу с рождения
078/P0_S078_03.mp4,Я живу родился,Я живу с рождения
078/P0_S078_04.mp4,Я живу родился,Я живу с рождения
079/P0_S079_00.mp4,Нет переехали сюда недавно,Нет переехали сюда недавно
079/P0_S079_01.mp4,Нет переехали сюда недавно,Нет переехали сюда недавно
079/P0_S079_02.mp4,Нет переехали сюда недавно,Нет переехали сюда недавно
079/P0_S079_03.mp4,Нет переехали сюда недавно,Нет переехали сюда недавно
079/P0_S079_04.mp4,Нет переехали сюда недавно,Нет переехали сюда недавно
080/P0_S080_00.mp4,Когда у тебя день рождения,Когда у тебя день рождения
080/P0_S080_01.mp4,Когда у тебя день рождения,Когда у тебя день рождения
080/P0_S080_02.mp4,Когда у тебя день рождения,Когда у тебя день рождения
080/P0_S080_03.mp4,Когда у тебя день рождения,Когда у тебя день рождения
080/P0_S080_04.mp4,Когда у тебя день рождения,Когда у тебя день рождения
081/P0_S081_00.mp4,У меня сегодня день рождения,У меня сегодня день рождения
081/P0_S081_01.mp4,У меня сегодня день рождения,У меня сегодня день рождения
081/P0_S081_02.mp4,У меня сегодня день рождения,У меня сегодня день рождения
081/P0_S081_03.mp4,У меня сегодня день рождения,У меня сегодня день рождения
081/P0_S081_04.mp4,У меня сегодня день рождения,У меня сегодня день рождения
082/P0_S082_00.mp4,У меня вчера было день рождения,У меня вчера было день рождения
082/P0_S082_01.mp4,У меня вчера было день рождения,У меня вчера было день рождения
082/P0_S082_02.mp4,У меня вчера было день рождения,У меня вчера было день рождения
082/P0_S082_03.mp4,У меня вчера было день рождения,У меня вчера было день рождения
082/P0_S082_04.mp4,У меня вчера было день рождения,У меня вчера было день рождения
083/P0_S083_00.mp4,У тебя завтра день рождения поздравляю,У тебя завтра день рождения поздравляю
083/P0_S083_01.mp4,У тебя завтра день рождения поздравляю,У тебя завтра день рождения поздравляю
083/P0_S083_02.mp4,У тебя завтра день рождения поздравляю,У тебя завтра день рождения поздравляю
083/P0_S083_03.mp4,У тебя завтра день рождения поздравляю,У тебя завтра день рождения поздравляю
083/P0_S083_04.mp4,У тебя завтра день рождения поздравляю,У тебя завтра день рождения поздравляю
084/P0_S084_00.mp4,Я рад тебя,Я рад за тебя
084/P0_S084_01.mp4,Я рад тебя,Я рад за тебя
084/P0_S084_02.mp4,Я рад тебя,Я рад за тебя
084/P0_S084_03.mp4,Я рад тебя,Я рад за тебя
084/P0_S084_04.mp4,Я рад тебя,Я рад за тебя
085/P0_S085_00.mp4,Ты замужем,Ты замужем женат
085/P0_S085_01.mp4,Ты замужем,Ты замужем женат
085/P0_S085_02.mp4,Ты замужем,Ты замужем женат
085/P0_S085_03.mp4,Ты замужем,Ты замужем женат
085/P0_S085_04.mp4,Ты замужем,Ты замужем женат
086/P0_S086_00.mp4,У меня есть супруг,У меня есть супруг
086/P0_S086_01.mp4,У меня есть супруг,У меня есть супруг
086/P0_S086_02.mp4,У меня есть супруг,У меня есть супруг
086/P0_S086_03.mp4,У меня есть супруг,У меня есть супруг
086/P0_S086_04.mp4,У меня есть супруг,У меня есть супруг
087/P0_S087_00.mp4,Я замужем,Я женат
087/P0_S087_01.mp4,Я замужем,Я женат
087/P0_S087_02.mp4,Я замужем,Я женат
087/P0_S087_03.mp4,Я замужем,Я женат
087/P0_S087_04.mp4,Я замужем,Я женат
088/P0_S088_00.mp4,Я холост,Я холост не замужем
088/P0_S088_01.mp4,Я холост,Я холост не замужем
088/P0_S088_02.mp4,Я холост,Я холост не замужем
088/P0_S088_03.mp4,Я холост,Я холост не замужем
